id,rec_price_m,price,city,lat,lon,bathrooms,height,state,type,year,floor,max_floor,area,views
1009794649,517170,17500000,Астана,51.158319986931,71.50158101579,1,2.7,"не новый, но аккуратный ремонт",кирпичный,2014,7,9,28,203
1009574754,638660,20500000,Алматы,43.356462,76.976771,1,2.7,"не новый, но аккуратный ремонт Санузел совмещенный",кирпичный,1989,3,5,33,27
1009508987,488730,33000000,Астана,51.141048,71.483529,1,2.7,черновая отделка,монолитный,2007,6,12,75,248
1009475213,683170,24500000,Астана,51.167928,71.374195,1,2,черновая отделка,монолитный,2026,5,12,6,65
1009327340,631660,41500000,Алматы,43.25795361445,76.819259040834,1,2.75,свежий ремонт,монолитный,2024,4,6,3,284
1009235155,638290,57600000,Астанапоказать на карте,51.144266295294,71.385169204692,1,2,черновая отделка,кирпичный,2024,3,9,5,64
1009022115,666990,26000000,Алматы,43.257187728902,76.81762418148,1,2,черновая отделка,монолитный,2025,5,6,45,235
1007693779,861870,55500000,Астана,51.100155339494,71.439068337385,2,2,черновая отделка,монолитный,2026,2,9,27,128
1007602471,697970,34500000,Астана,51.140524508338,71.389163341932,1,2.7,"не новый, но аккуратный ремонт",монолитный,2018,9,24,4,45
1007428899,562900,35500000,Астана,51.122800978343,71.477151142628,2,2.75,"не новый, но аккуратный ремонт",монолитный,2014,2,24,65,254
1007391208,880850,42500000,Алматы,43.221009696864,76.886923955006,1,2.7,свободная планировка,монолитный,2023,6,18,9,15
1007302194,660870,17500000,Астана,51.126720416252,71.291155973382,2,2.7,черновая отделка,кирпичный,2023,2,4,68,226
697675811,424390,25000000,Астана,51.197089,71.39349,1,2.7,"не новый, но аккуратный ремонт Санузел раздельный",панельный,1991,5,6,58,43
691502397,600740,23500000,Алматы,43.270491125712,76.860755805082,1,2,свежий ремонт Бывшее общежитие нет,кирпичный,1992,2,3,4,125
666104576,947910,58000000,Алматы,43.231050600665,76.875535601705,1,2.8,черновая отделка,монолитный,2017,12,12,55,177
697758652,588510,46000000,Астана,51.112983779262,71.509659313746,1,2.7,черновая отделка,кирпичный,2023,9,9,5,56
1009498946,801130,75000000,Астана,51.124550568206,71.402631997953,2,3.3,свежий ремонт,монолитный,2024,9,9,65,28
1010879412,474640,32000000,Астана,51.168125,71.401243,1,2.7,"не новый, но аккуратный ремонт",монолитный,2009,15,16,7,116
1008680236,756500,35000000,Алматы,43.246686,76.899992,1,2,требует ремонта Санузел раздельный,панельный,1978,5,5,44,93
1007998313,633280,25800000,Алматы,43.337935,76.891854,1,2,свободная планировка,монолитный,2025,3,5,50,30
686351443,646390,38500000,Астана,51.093544687751,71.445452273294,1,2.7,свежий ремонт,кирпичный,2016,10,10,66,101
683285116,872360,57000000,Алматы,43.215893518467,76.880411869337,1,2.74,черновая отделка,монолитный,2023,6,17,73,195
1011081314,649300,56000000,Алматы,43.315106,76.91282,1,2.8,черновая отделка,панельный,1986,4,5,65,206
1010734428,592920,35500000,Алматы,43.318921958723,76.841007787874,1,2.7,черновая отделка,монолитный,2019,4,5,60,311
1010088214,861870,43500000,Астана,51.151953,71.371419,1,2,черновая отделка,монолитный,2026,7,9,94,57
1009943070,489910,38500000,Астана,51.135990888265,71.364411493946,1,2.7,черновая отделка,кирпичный,2011,11,13,86,256
1009128088,684450,56000000,Алматы,43.223841127129,76.792911683095,1,2.8,свежий ремонт,монолитный,2015,12,16,132,266
1009074040,631280,42500000,Алматы,43.276167290558,76.815571188818,1,2.8,черновая отделка,монолитный,2025,12,12,71,125
1007938139,903150,90000000,Алматы,43.19975072842,76.899854634319,1,2,свежий ремонт,монолитный,2023,8,20,76,314
1007462329,886020,127000000,Алматы,43.248334,76.940264,1,2,свежий ремонт Высота потолков 2.75 м,кирпичный,1967,5,5,92,181
1007279896,814340,69900000,Астана,51.082696688109,71.442134951333,1,2,черновая отделка,монолитный,2022,3,9,93,168
1004336088,461330,20000000,Астана,51.197456,71.386007,1,2.7,"не новый, но аккуратный ремонт Санузел раздельный",кирпичный,2008,11,14,53,61
1000648728,521010,20990000,Алматы,43.311249,76.897378,1,2.8,черновая отделка,монолитный,2014,5,7,33,68
1000902819,415090, 26100000 ,Семей,50.37597493308,80.23330111742,1,2,черновая отделка,монолитный,2026,58,6758
1005834539,817420, 83656620 ,Астана,51.135621639682,71.387391891364,2,2,черновая отделка,монолитный,2027,22,2406
1003290559,861870, 54308840 ,Астана,51.078078683757,71.43580024458,2,2,черновая отделка,монолитный,2026,36,4459
1002693269,577430, 39418570 ,Астана,51.166815630907,71.44322867604,2,2,черновая отделка,монолитный,2026,47,1491
1002501506,600590, 33225300 ,Астана,51.127150698348,71.369950124067,1,2,черновая отделка,кирпичный,2026,59,2390
760067395,543710, 26775840 ,Атырау,47.088908528263,51.891892820547,1,2,черновая отделка,монолитный,2026,68,4605
697969421,828000, 246813000 ,Шымкент,42.376224007256,69.608987708663,2,2,черновая отделка,монолитный,2025,22,4770
1009959466,650040,25500000,Астана,51.138245,71.377914,1,2,свежий ремонт,кирпичный,2025,4,9,1,2281
1010915300,592480,21500000,Астана,51.130845572867,71.368086422801,1,2.7,"не новый, но аккуратный ремонт",монолитный,2015,9,9,40,197
1011070541,379840,25000000,Усть-Каменогорск,49.903664,82.621587,1,2,черновая отделка,панельный,1981,5,5,69,302
1007140465,648980,68000000,Алматы,43.180857,76.866674,1,2,черновая отделка Высота потолков 3 м,иной,2022,1,4,2,363
1011255723,398050,28000000,Шымкент,42.327429947216,69.569345720391,1,2,черновая отделка,кирпичный,1993,5,5,75,119
1004626534,346250,16500000,Тараз,42.899045678832,71.347539111668,1,2,черновая отделка,кирпичный,1967,3,5,62,1102
1010809095,438900,18000000,Караганда,49.815585,73.107754,1,2.5,свежий ремонт Санузел совмещенный,кирпичный,1978,7,9,3,1645
